Timestamp,"Стартова заплата на текущата позиция (месечна, нето, в лева)","Текуща заплата (месечна, нето, в лева)",Колко години стаж имате на текущата позиция?,Колко години стаж имате?,За колко човека отговаряте?,В коя област работите?,Какво е точното название на позицията Ви?,Град,Заплаща ли се Overtime,"Годишен размер на паричните бонуси (Нето, в лева)","Име на фирмата, в която работите",Какви технологии ползвате?,Имаше ли съкращения във вашата фирма в резултат на кризата,"Получихте ли увеличение на заплатата, което да компенсира инфлацията в страната",Предлага ли по принцип дистанционна работа фирмата Ви,Фирмата изисква ли естимейти преди започване на таск,Фирмата изисква ли отчитане на часове за работния ден,"Фирмата предлага ли работно време по твое желание (изключвайки срещите)? ""Имаш да свършиш това за днес, пък кога го вършиш - е твоя работа",Получавате ли бонуси на база добре свършена работа,Тип на компанията,Има ли и какви стокови опции или подобни,Брой дни платен отпуск,Получавате ли допълнително здравно осигуряване,Получавате ли карта/бюджет за спорт,"Получавате ли бюджет за допълнителни обучения, курсове и сертификати",Бележки
1/19/2023 19:57:59,,6800,8,8,2,Разработка на софтуер (Dev),Java developer,Пловдив,Няма overtime,6000,,,не,не,няколко задължително присъствени дни,"да, но не се налага спазването им",не,"не, работим фиксирано","не, нямаме бонуси",Продукт,Не,25,Да,Да,Не,
1/19/2023 20:18:53,7500,9000,2,10,10,Мениджмънт/Тиим Лиид,Head of unit,София,Да,25000,,".net, c#, Ms sql, Azure, service bus",не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",да,да,да,Сървис,,25,Да,Да,Да,
1/19/2023 21:07:03,1500,1900,2,15,0,Networking,System Administrator,София,Не,2000,,Python,не,не,задължително присъствено,не,не,"не, но може да си тръгна ако приключа със задачите за деня","не, нямаме бонуси",Продукт,,,Не,Да,Не,
1/19/2023 21:09:21,15000,18000,4,14,10,Мениджмънт/Тиим Лиид,Head,София,Няма overtime,20000,Анонимно," AWS, GCP, Azure, NodeJs, Python, MySQL",да,да,няколко задължително присъствени дни,"да, но не се налага спазването им",не,"не, работим фиксирано","не, нямаме бонуси",Сървис,Не,25,Да,Да,Да,
1/19/2023 21:47:45,8500,8500,1,6,0,Разработка на софтуер (Dev),Senior Software Engineer ,София,Не,0,,Java,не,Waiting ,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,"не, нямаме бонуси",Сървис,Да,25,Да,Не,Да,
1/19/2023 21:55:57,2250,2250,,4,0,Поддръжка на софтуер (Support),T2 technical support ,Remote,Няма overtime,0,,,да,не,100% дистанционно,не,не,да,да,Продукт,,20,Не,Не,Не,
1/19/2023 22:24:43,4200,4200,1,3,0,Разработка на софтуер (Dev),Програмист,София,Няма overtime,4200,,,не,не,няколко задължително присъствени дни,"да, но не се налага спазването им",да,"не, но може да си тръгна ако приключа със задачите за деня","не, нямаме бонуси",Продукт,,25,Да,Да,Да,
1/19/2023 22:52:14,7200,8200,1,15,34,Мениджмънт/Тиим Лиид,Customer Support Director,София,Не,25000,,,не,да,дистанционно по желание без ограничение,не,не,да,да,Продукт,Да,30,Да,Да,Да,
1/20/2023 4:32:29,1800,4000,3,4,3,Поддръжка на софтуер (Support),Senior Technician IT Service Desk,София,Няма overtime,1000,Paysafe,"Azure, Intune, ServiceNow, Active Directory, Jamf, Autopilot, MDM, Powershell 7, Office365, ",не,не,дистанционно по желание без ограничение,не,не,да,да,Payments & Digital Wallets,"Да, според стажа в компанията",25,Да,Да,Да,
1/20/2023 9:20:42,6500,6500,0.5,8,0,Разработка на софтуер (Dev),software dev,София,Няма overtime,10000,,".NET, C#, JS... ",не,не,дистанционно по желание без ограничение,не,не,да,"не, бонусите са фиксирани",Продукт,има,,Да,Да,Да,
1/20/2023 9:32:59,3300,4800,4.5,4.5,1,Разработка на софтуер (Dev),Embedded software developer,София,Няма overtime,12000,,"C, C++, Python",не,да,няколко задължително присъствени дни,"да, и следи за спазването",не,да,"не, бонусите са фиксирани",Продукт,,,Да,Да,Да,
1/20/2023 9:43:35,3600,6000,2,5,1,Разработка на софтуер (Dev),програмист,София,Да,5000,ЕГТ,C#,не,Не са минали годишните ревюта,дистанционно по желание без ограничение,не,да,да,"не, бонусите са фиксирани",Продукт,не,25,Да,Да,не знам,
1/20/2023 9:55:42,4200,4200,1,8,4,QA,Ръководител екип,София,Да,10000,,C- based real time programming language,не,да,няколко задължително присъствени дни,"да, и следи за спазването",не,да,"не, бонусите са фиксирани",Продукт,,25,Да,Да,Да,
1/20/2023 10:38:59,4000,6900,4,12,0,Разработка на софтуер (Dev),Database developer,София,Няма overtime,3000,,mssql/sql server,не,не,дистанционно по желание без ограничение,не,да,да,да,Продукт,да,25,Да,Да,Да,
1/20/2023 11:09:05,10000,10000,1,12,0,Мениджмънт/Тиим Лиид,Project Manager,Remote,Не,10000,,,не,не,100% дистанционно,"да, и следи за спазването",да,да,"не, бонусите са фиксирани",Продукт,Да,25,Да,Не,Да,
1/20/2023 11:40:58,4500,6200,3,14,0,Разработка на софтуер (Dev),Full stack dev,София,Да,0,,,не,не,100% дистанционно,"да, и следи за спазването",да,да,"не, нямаме бонуси",Продукт,Да,25,Да,Да,Да,
1/20/2023 13:02:30,6000,7400,5,8,0,DevOps,AWS DevOps,София,Няма overtime,0,N/A,"AWS, Terraform, Kubernetes, Linux, Networking, Databases",не,не,дистанционно по желание без ограничение,"да, но не се налага спазването им",да,да,"не, нямаме бонуси",,,25,Да,Да,Да,
1/20/2023 14:49:01,2800,4500,4,8,0,Разработка на софтуер (Dev),Software Engineer,Пловдив,Няма overtime,4700,,Javascript,не,"да, но не покрива инфлацията",дистанционно по желание без ограничение,"да, но не се налага спазването им",да,да,да,Сървис,Не,20,Да,Да,Да,
